n units 1000,n units 3000,n units 5000,n units 7000,n units 9000,True Effect
0.50759,0.56389,0.54854,0.5462685714285714,0.5548033333333333,0.5489044444444444
0.50577,0.53453,0.5477479999999999,0.5393385714285714,0.5417833333333334,0.5489044444444444
0.53067,0.5543500000000001,0.569936,0.5466657142857143,0.54617,0.5489044444444444
0.52657,0.5502933333333333,0.5412300000000001,0.5582942857142856,0.5363944444444444,0.5489044444444444
0.56462,0.5362233333333334,0.545242,0.5477314285714285,0.5699344444444445,0.5489044444444444
0.55968,0.5644733333333334,0.539186,0.5694285714285714,0.5522377777777777,0.5489044444444444
0.52338,0.53242,0.5301180000000001,0.5323485714285714,0.5665066666666667,0.5489044444444444
0.50792,0.5535433333333333,0.53549,0.5410157142857143,0.5686677777777778,0.5489044444444444
0.5328599999999999,0.5591833333333334,0.544874,0.5500257142857142,0.5433677777777778,0.5489044444444444
0.50131,0.5423499999999999,0.551326,0.5683985714285715,0.57061,0.5489044444444444
0.54813,0.55637,0.5548299999999999,0.5400799999999999,0.5521622222222222,0.5489044444444444
0.49906999999999996,0.5447366666666666,0.540454,0.5362585714285715,0.5494933333333334,0.5489044444444444
0.5580700000000001,0.55746,0.538418,0.5547042857142856,0.55379,0.5489044444444444
0.55648,0.5387533333333333,0.550844,0.5526728571428572,0.5533566666666667,0.5489044444444444
0.5808599999999999,0.5493366666666666,0.5371520000000001,0.5238185714285715,0.5597744444444444,0.5489044444444444
0.54477,0.5649466666666667,0.556454,0.5361571428571429,0.5542522222222223,0.5489044444444444
0.48801999999999995,0.5909966666666666,0.53878,0.5282842857142858,0.5533955555555556,0.5489044444444444
0.59693,0.5431233333333333,0.54731,0.5343685714285714,0.5571688888888888,0.5489044444444444
0.54104,0.537,0.5369200000000001,0.5236042857142857,0.5509722222222222,0.5489044444444444
0.5560700000000001,0.5604899999999999,0.5481960000000001,0.5303500000000001,0.5593744444444444,0.5489044444444444
0.54183,0.5525866666666667,0.544734,0.56375,0.57453,0.5489044444444444
0.53329,0.5318566666666666,0.52615,0.5363028571428572,0.5346522222222223,0.5489044444444444
0.55315,0.5571633333333335,0.535602,0.5377557142857143,0.5493511111111111,0.5489044444444444
0.54704,0.5170066666666666,0.5495019999999999,0.5483357142857143,0.5373733333333333,0.5489044444444444
0.56206,0.54997,0.540034,0.5562057142857143,0.5481288888888889,0.5489044444444444
0.53958,0.5745766666666667,0.538336,0.5686342857142856,0.5645,0.5489044444444444
0.56169,0.563,0.555078,0.56299,0.5351311111111111,0.5489044444444444
0.55169,0.5320799999999999,0.559866,0.5533314285714286,0.5554455555555555,0.5489044444444444
0.54039,0.5722866666666666,0.5560339999999999,0.5441400000000001,0.5679955555555556,0.5489044444444444
0.4986,0.5214466666666667,0.5373920000000001,0.5351657142857142,0.5567844444444445,0.5489044444444444
0.54087,0.5701666666666667,0.545716,0.5429857142857143,0.5640777777777778,0.5489044444444444
0.6047,0.5338966666666667,0.536358,0.5646228571428571,0.5405599999999999,0.5489044444444444
0.5034000000000001,0.5683633333333333,0.5344180000000001,0.5352371428571427,0.5435022222222222,0.5489044444444444
0.57353,0.5395300000000001,0.5548759999999999,0.5496985714285714,0.5501066666666667,0.5489044444444444
0.5287599999999999,0.5408566666666667,0.547296,0.5472785714285714,0.5587033333333333,0.5489044444444444
0.5458399999999999,0.5639266666666667,0.556298,0.5509071428571428,0.5527955555555556,0.5489044444444444
0.5361,0.5528933333333332,0.543594,0.5497557142857143,0.5479777777777778,0.5489044444444444
0.51377,0.57036,0.548726,0.5416128571428571,0.5533811111111111,0.5489044444444444
0.5820000000000001,0.55277,0.546746,0.5465714285714285,0.568,0.5489044444444444
0.57411,0.55214,0.5333619999999999,0.5393071428571428,0.5523477777777778,0.5489044444444444
0.50151,0.5329600000000001,0.545554,0.5512342857142858,0.5372511111111111,0.5489044444444444
0.54802,0.54488,0.558746,0.5459314285714285,0.5690011111111111,0.5489044444444444
0.56364,0.5362733333333334,0.549944,0.5592971428571428,0.5553266666666666,0.5489044444444444
0.55063,0.5542366666666667,0.54094,0.5451471428571428,0.5488033333333333,0.5489044444444444
0.55145,0.5372333333333333,0.550708,0.5380757142857143,0.55549,0.5489044444444444
0.58741,0.54668,0.54478,0.5544985714285714,0.5473622222222222,0.5489044444444444
0.5612299999999999,0.5684366666666667,0.5547259999999999,0.5458442857142858,0.5439066666666668,0.5489044444444444
0.52081,0.5304333333333333,0.53433,0.5385285714285715,0.5548433333333334,0.5489044444444444
0.5254300000000001,0.5318166666666667,0.554436,0.5546314285714286,0.5577344444444444,0.5489044444444444
0.5611200000000001,0.56751,0.54586,0.550072857142857,0.5570166666666666,0.5489044444444444
0.56479,0.5419266666666667,0.5379320000000001,0.53382,0.5360466666666666,0.5489044444444444
0.5579000000000001,0.5467,0.53901,0.5615328571428571,0.5410744444444444,0.5489044444444444
0.55666,0.5422866666666667,0.57542,0.5499828571428571,0.5560122222222222,0.5489044444444444
0.5401100000000001,0.5420433333333334,0.558686,0.5700514285714285,0.5338444444444445,0.5489044444444444
0.5462100000000001,0.5532066666666666,0.559618,0.5390228571428572,0.5380288888888889,0.5489044444444444
0.5904100000000001,0.5392466666666667,0.539994,0.5515385714285714,0.5682855555555555,0.5489044444444444
0.56779,0.5623033333333334,0.556948,0.5581385714285714,0.5454455555555556,0.5489044444444444
0.55412,0.54734,0.53555,0.5237914285714286,0.5670588888888889,0.5489044444444444
0.5560400000000001,0.5649200000000001,0.527244,0.5551142857142858,0.549188888888889,0.5489044444444444
0.47222000000000003,0.5451433333333333,0.5490980000000001,0.5612771428571428,0.5388011111111111,0.5489044444444444
0.56738,0.5354766666666667,0.56674,0.5606328571428572,0.5414955555555556,0.5489044444444444
0.55105,0.5541,0.540092,0.56576,0.5503555555555556,0.5489044444444444
0.53424,0.5362566666666667,0.511126,0.5638785714285715,0.5611544444444444,0.5489044444444444
0.5099400000000001,0.54562,0.541582,0.5529914285714286,0.5632511111111111,0.5489044444444444
0.5738000000000001,0.54416,0.552492,0.5473414285714286,0.5510977777777777,0.5489044444444444
0.51156,0.55899,0.5466200000000001,0.5531571428571429,0.5451600000000001,0.5489044444444444
0.51347,0.5474866666666667,0.55413,0.5494285714285714,0.5433188888888889,0.5489044444444444
0.53899,0.5588266666666666,0.543742,0.5408857142857143,0.5449066666666667,0.5489044444444444
0.5356799999999999,0.5308733333333333,0.542862,0.5438371428571429,0.5459322222222223,0.5489044444444444
0.54588,0.5227666666666666,0.554932,0.53748,0.5506500000000001,0.5489044444444444
0.53376,0.5332466666666666,0.5498719999999999,0.52342,0.5452122222222222,0.5489044444444444
0.56918,0.5483433333333333,0.568456,0.5607457142857144,0.5360499999999999,0.5489044444444444
0.51782,0.54247,0.5541419999999999,0.5369,0.5450688888888889,0.5489044444444444
0.54581,0.56667,0.5486340000000001,0.5470571428571429,0.5486766666666667,0.5489044444444444
0.5549,0.5528666666666666,0.5487439999999999,0.5584785714285715,0.5460933333333333,0.5489044444444444
0.58613,0.5297799999999999,0.542126,0.5410299999999999,0.5472966666666667,0.5489044444444444
0.5546500000000001,0.5381866666666666,0.552056,0.5264657142857143,0.5461211111111111,0.5489044444444444
0.50309,0.52669,0.5219020000000001,0.5672871428571429,0.5564733333333334,0.5489044444444444
0.52237,0.56247,0.5612919999999999,0.5424071428571429,0.5456233333333333,0.5489044444444444
0.48584,0.55952,0.536788,0.5657814285714285,0.5637844444444444,0.5489044444444444
0.5936699999999999,0.5398233333333333,0.545976,0.5318685714285714,0.5519511111111111,0.5489044444444444
0.56375,0.5450366666666666,0.546532,0.5441371428571429,0.5505722222222222,0.5489044444444444
0.55932,0.5360199999999999,0.533008,0.5558114285714286,0.5529688888888888,0.5489044444444444
0.5042599999999999,0.5607500000000001,0.5517320000000001,0.5344285714285714,0.5474755555555556,0.5489044444444444
0.5263100000000001,0.5787599999999999,0.54454,0.5503185714285714,0.5330777777777778,0.5489044444444444
0.5212600000000001,0.52254,0.5444060000000001,0.5418228571428572,0.5473522222222222,0.5489044444444444
0.5254,0.5483,0.550216,0.5388071428571428,0.5611722222222222,0.5489044444444444
0.51695,0.5387233333333334,0.5406120000000001,0.5430442857142858,0.5563655555555556,0.5489044444444444
0.5059199999999999,0.5339866666666666,0.5593680000000001,0.5268185714285715,0.5441066666666666,0.5489044444444444
0.56495,0.5583133333333333,0.54984,0.5486657142857143,0.5562522222222223,0.5489044444444444
0.57486,0.5672300000000001,0.55581,0.5472271428571429,0.55772,0.5489044444444444
0.54899,0.5143833333333334,0.552736,0.5400771428571429,0.5504,0.5489044444444444
0.53579,0.5522466666666668,0.557692,0.5674185714285714,0.5504544444444444,0.5489044444444444
0.5232600000000001,0.5520333333333334,0.54159,0.5367328571428571,0.5374755555555555,0.5489044444444444
