n units 500,n units 1000,n units 2000,n units 3000,True Effect
0.60738,0.6191800000000001,0.638225,0.6396999999999999,0.62548
0.58352,0.6495599999999999,0.59067,0.6758933333333335,0.62548
0.68204,0.6082299999999999,0.6478649999999999,0.6084033333333334,0.62548
0.61512,0.60744,0.6296599999999999,0.6365266666666667,0.62548
0.6633800000000001,0.62605,0.640985,0.6336333333333333,0.62548
0.59006,0.63002,0.654455,0.6287666666666667,0.62548
0.59978,0.6123700000000001,0.6348699999999999,0.64173,0.62548
0.6414200000000001,0.6446700000000001,0.614175,0.6311833333333332,0.62548
0.6380600000000001,0.6106800000000001,0.6182699999999999,0.6013466666666667,0.62548
0.61782,0.6231099999999999,0.589555,0.6059000000000001,0.62548
0.63762,0.62892,0.66325,0.6540233333333333,0.62548
0.6025400000000001,0.5731200000000001,0.602935,0.6481466666666666,0.62548
0.68804,0.6133500000000001,0.61208,0.6114833333333334,0.62548
0.63322,0.6285499999999999,0.626785,0.6283533333333333,0.62548
0.64332,0.62466,0.660305,0.6371600000000001,0.62548
0.65486,0.59026,0.643125,0.6184666666666666,0.62548
0.6648799999999999,0.60953,0.6363399999999999,0.6204833333333334,0.62548
0.67038,0.66997,0.636405,0.62955,0.62548
0.5969800000000001,0.61128,0.648385,0.6397533333333334,0.62548
0.5818000000000001,0.66379,0.613015,0.6519833333333334,0.62548
0.58664,0.65178,0.624785,0.64966,0.62548
0.6538,0.59917,0.627895,0.6463533333333333,0.62548
0.64586,0.6053499999999999,0.6413850000000001,0.6436633333333334,0.62548
0.59588,0.57769,0.628255,0.6336766666666667,0.62548
0.62174,0.607,0.642485,0.6285233333333333,0.62548
0.5693199999999999,0.65261,0.6335900000000001,0.5886466666666667,0.62548
0.66918,0.61838,0.6487,0.6461533333333334,0.62548
0.57128,0.5986,0.62556,0.6266666666666667,0.62548
0.6406,0.6109899999999999,0.6430899999999999,0.6465400000000001,0.62548
0.65652,0.57935,0.6363099999999999,0.6318366666666667,0.62548
0.6072599999999999,0.59902,0.6398649999999999,0.6156866666666666,0.62548
0.618,0.6151500000000001,0.60082,0.6100666666666668,0.62548
0.65436,0.58203,0.64547,0.64434,0.62548
0.6692,0.66763,0.606735,0.6306333333333334,0.62548
0.68316,0.59985,0.639735,0.6229666666666667,0.62548
0.6691799999999999,0.6556500000000001,0.633845,0.65066,0.62548
0.71258,0.6059300000000001,0.651155,0.6173733333333333,0.62548
0.59368,0.6190599999999999,0.648795,0.6116233333333333,0.62548
0.63056,0.6321399999999999,0.620995,0.61083,0.62548
0.59882,0.613,0.6387100000000001,0.6554866666666668,0.62548
0.63686,0.59111,0.61625,0.6125466666666666,0.62548
0.5542,0.6307799999999999,0.60732,0.6242700000000001,0.62548
0.6350199999999999,0.59311,0.593035,0.6168566666666666,0.62548
0.6557200000000001,0.5940799999999999,0.6080400000000001,0.6125433333333333,0.62548
0.58348,0.6489100000000001,0.6158650000000001,0.63893,0.62548
0.6294,0.61146,0.6605049999999999,0.6169933333333334,0.62548
0.6552199999999999,0.62563,0.629515,0.6651766666666666,0.62548
0.6176,0.5859300000000001,0.6266,0.6234433333333333,0.62548
0.6320600000000001,0.6220399999999999,0.6220049999999999,0.6227400000000001,0.62548
0.60894,0.67204,0.62498,0.62512,0.62548
0.5952599999999999,0.57416,0.63123,0.6222266666666667,0.62548
0.65738,0.62147,0.661025,0.6375333333333334,0.62548
0.6747000000000001,0.5905400000000001,0.608375,0.6387799999999999,0.62548
0.6127400000000001,0.60381,0.605685,0.6355366666666666,0.62548
0.6666,0.5879300000000001,0.62286,0.6116666666666667,0.62548
0.64328,0.60524,0.5943350000000001,0.63885,0.62548
0.69162,0.6235299999999999,0.5892999999999999,0.6208100000000001,0.62548
0.60486,0.57256,0.6079600000000001,0.6632766666666667,0.62548
0.5914999999999999,0.6203799999999999,0.61895,0.6270933333333333,0.62548
0.59524,0.6042,0.635235,0.6385033333333333,0.62548
0.6236999999999999,0.6564,0.600675,0.5986733333333333,0.62548
0.68594,0.6583600000000001,0.610275,0.63053,0.62548
0.67196,0.65303,0.624905,0.5999466666666666,0.62548
0.6246,0.64591,0.62575,0.6505566666666667,0.62548
0.59118,0.65591,0.656995,0.63807,0.62548
0.56168,0.63266,0.597505,0.6506266666666667,0.62548
0.62226,0.57623,0.62997,0.6013999999999999,0.62548
0.61366,0.6231599999999999,0.6421600000000001,0.6319433333333333,0.62548
0.68682,0.6694500000000001,0.5896250000000001,0.6225799999999999,0.62548
0.5672200000000001,0.6598499999999999,0.64421,0.6502933333333334,0.62548
0.6569800000000001,0.63924,0.601275,0.6181133333333333,0.62548
