n units 500,n units 1000,n units 2000,n units 3000,True Effect
0.61134,0.66483,0.58717,0.6283033333333333,0.626392
0.61904,0.64335,0.676735,0.6429233333333334,0.626392
0.55708,0.64726,0.62102,0.6348499999999999,0.626392
0.66116,0.62995,0.601745,0.6380933333333334,0.626392
0.57034,0.62488,0.63252,0.62473,0.626392
0.6381,0.55857,0.636345,0.61609,0.626392
0.5772200000000001,0.64167,0.6398250000000001,0.6393966666666666,0.626392
0.59072,0.57612,0.6228600000000001,0.6466133333333333,0.626392
0.6092,0.68677,0.61737,0.6453800000000001,0.626392
0.6738000000000001,0.63954,0.610055,0.6431,0.626392
0.6402,0.62531,0.60137,0.63822,0.626392
0.5972000000000001,0.62994,0.637135,0.6203466666666666,0.626392
0.55328,0.61913,0.6349149999999999,0.6479166666666667,0.626392
0.50412,0.6286700000000001,0.60209,0.6503700000000001,0.626392
0.63982,0.5956400000000001,0.65914,0.64698,0.626392
0.5921799999999999,0.62591,0.6437299999999999,0.6311466666666666,0.626392
0.56216,0.56324,0.62646,0.65384,0.626392
0.53342,0.5950599999999999,0.6280650000000001,0.6380633333333333,0.626392
0.53798,0.5842799999999999,0.68209,0.6301866666666667,0.626392
0.6672,0.6090800000000001,0.62424,0.61791,0.626392
0.5373,0.61636,0.63452,0.64272,0.626392
0.65286,0.6314,0.6126,0.63548,0.626392
0.5999,0.62087,0.608645,0.6326866666666666,0.626392
0.63296,0.62375,0.63039,0.6177333333333334,0.626392
0.55958,0.61764,0.629,0.6128466666666667,0.626392
0.6018399999999999,0.64625,0.629435,0.6368566666666666,0.626392
0.68498,0.60465,0.6171150000000001,0.65555,0.626392
0.61982,0.6611199999999999,0.6310100000000001,0.6317533333333334,0.626392
0.5827,0.6419999999999999,0.6121749999999999,0.6237,0.626392
0.6123,0.60941,0.64505,0.6190966666666666,0.626392
0.65266,0.61578,0.6283699999999999,0.6193433333333334,0.626392
0.653,0.60382,0.64926,0.63948,0.626392
0.5992600000000001,0.62388,0.642285,0.6155933333333334,0.626392
0.61812,0.6188499999999999,0.6036600000000001,0.6304066666666666,0.626392
0.5735,0.65096,0.6411100000000001,0.6364266666666667,0.626392
0.5733,0.60615,0.58824,0.6551699999999999,0.626392
0.64318,0.5928199999999999,0.680565,0.63602,0.626392
0.58762,0.5869,0.6102000000000001,0.6243433333333334,0.626392
0.6024,0.64316,0.6239300000000001,0.6243566666666667,0.626392
0.6589799999999999,0.60029,0.6404749999999999,0.6038666666666668,0.626392
0.61124,0.55467,0.6203799999999999,0.5957966666666666,0.626392
0.6048,0.5938,0.6323449999999999,0.6228466666666667,0.626392
0.6804399999999999,0.57982,0.6141949999999999,0.6574666666666666,0.626392
0.65032,0.6325700000000001,0.6566000000000001,0.6017566666666667,0.626392
0.69722,0.61311,0.64792,0.6411199999999999,0.626392
0.53768,0.59161,0.64934,0.5937233333333334,0.626392
0.61294,0.6196600000000001,0.59053,0.6349433333333333,0.626392
0.5551999999999999,0.67837,0.6126,0.6555833333333334,0.626392
0.52998,0.59246,0.6343449999999999,0.6397266666666667,0.626392
0.63462,0.55156,0.669745,0.6272633333333333,0.626392
0.5903,0.5735,0.637765,0.6166133333333333,0.626392
0.65394,0.6157600000000001,0.6355999999999999,0.6426533333333334,0.626392
0.6852,0.5988899999999999,0.651455,0.6332266666666666,0.626392
0.56918,0.58176,0.6280749999999999,0.6332866666666668,0.626392
0.60626,0.5972299999999999,0.64087,0.6313233333333333,0.626392
0.63646,0.66519,0.612215,0.6558133333333334,0.626392
0.5881400000000001,0.65283,0.637945,0.6638366666666666,0.626392
0.55202,0.5935,0.663785,0.59903,0.626392
0.58274,0.6456999999999999,0.632035,0.6432033333333333,0.626392
0.65134,0.62575,0.65068,0.6527299999999999,0.626392
0.53308,0.5916399999999999,0.63232,0.6201133333333334,0.626392
0.66908,0.62436,0.6133000000000001,0.6418900000000001,0.626392
0.62062,0.6055,0.615675,0.6413733333333334,0.626392
0.6131599999999999,0.62564,0.6125100000000001,0.6294033333333333,0.626392
0.5718799999999999,0.62438,0.6419649999999999,0.6611100000000001,0.626392
0.6695200000000001,0.6126799999999999,0.6081350000000001,0.6650833333333332,0.626392
0.63002,0.62619,0.633345,0.62588,0.626392
0.66038,0.62671,0.596095,0.6640833333333334,0.626392
0.569,0.62758,0.6565300000000001,0.63619,0.626392
0.61992,0.6885399999999999,0.594085,0.6131566666666667,0.626392
0.68662,0.60141,0.6266,0.6392966666666666,0.626392
0.56274,0.62175,0.609145,0.6024433333333334,0.626392
0.6601999999999999,0.62892,0.61918,0.6106766666666668,0.626392
0.655,0.60142,0.6460600000000001,0.64044,0.626392
0.5940399999999999,0.67207,0.61725,0.6284666666666667,0.626392
0.6774,0.59643,0.6243,0.6083466666666666,0.626392
0.55548,0.63274,0.66317,0.6421533333333334,0.626392
0.6364799999999999,0.6393900000000001,0.6083000000000001,0.6146199999999999,0.626392
0.5844,0.58221,0.61136,0.6433466666666667,0.626392
0.58326,0.6581899999999999,0.63544,0.6063733333333333,0.626392
0.6225,0.58282,0.619715,0.6029466666666666,0.626392
0.6565599999999999,0.64852,0.60944,0.6233299999999999,0.626392
0.64414,0.6277699999999999,0.602295,0.63639,0.626392
0.6364399999999999,0.6807500000000001,0.63828,0.6179,0.626392
0.62336,0.59527,0.6756150000000001,0.61087,0.626392
0.6216200000000001,0.60396,0.614135,0.6367066666666668,0.626392
0.61998,0.6252800000000001,0.631835,0.6290666666666667,0.626392
0.72928,0.65984,0.628995,0.6085566666666666,0.626392
0.61148,0.6617999999999999,0.6024849999999999,0.6250833333333334,0.626392
0.59192,0.59382,0.6306649999999999,0.6143833333333334,0.626392
0.51414,0.6618,0.60687,0.6339300000000001,0.626392
0.6550800000000001,0.72615,0.5733250000000001,0.6085533333333334,0.626392
0.56772,0.65936,0.626715,0.6378299999999999,0.626392
0.59016,0.58353,0.605445,0.62239,0.626392
0.56312,0.6020099999999999,0.6047150000000001,0.60859,0.626392
0.62462,0.64083,0.631205,0.61244,0.626392
0.64598,0.63365,0.618955,0.6300399999999999,0.626392
0.68296,0.6094200000000001,0.64102,0.6197466666666667,0.626392
0.57294,0.62035,0.647145,0.6092433333333334,0.626392
0.6386,0.6185700000000001,0.6407450000000001,0.6385633333333334,0.626392
