n units 300,n units 600,n units 900,n units 1200,n units 1500,True Effect
0.6038,0.45565,0.5265111111111112,0.573725,0.62398,0.57355
0.4765666666666667,0.6394500000000001,0.5047222222222223,0.4469833333333333,0.5979399999999999,0.57355
0.3166,0.5601166666666667,0.5945222222222222,0.5657249999999999,0.5870533333333333,0.57355
0.6846666666666668,0.5708833333333334,0.6051222222222221,0.5512666666666667,0.55778,0.57355
0.4074666666666667,0.5668666666666666,0.6387111111111112,0.608125,0.5525133333333334,0.57355
0.5663333333333334,0.6237166666666667,0.6253666666666666,0.5930416666666667,0.5306466666666667,0.57355
0.6255333333333334,0.5724,0.5706,0.6296083333333333,0.57864,0.57355
0.637,0.5018833333333333,0.5068333333333334,0.6387416666666667,0.5847266666666667,0.57355
0.6603333333333333,0.5667833333333333,0.5641111111111111,0.5994416666666667,0.5771333333333334,0.57355
0.511,0.41575000000000006,0.6072444444444445,0.5835083333333333,0.5935666666666667,0.57355
0.5757333333333333,0.6091666666666666,0.5575777777777777,0.5186333333333333,0.5692466666666667,0.57355
0.5893999999999999,0.5216166666666666,0.5414666666666667,0.518425,0.6165733333333334,0.57355
0.6143333333333334,0.5783166666666667,0.6554333333333333,0.5614583333333334,0.5749866666666666,0.57355
0.5651333333333334,0.5965333333333334,0.5615666666666667,0.5585416666666667,0.5271133333333333,0.57355
0.588,0.6234166666666666,0.6228444444444445,0.5703416666666667,0.5635666666666668,0.57355
0.594,0.6284333333333333,0.5008333333333334,0.5445583333333333,0.6367933333333333,0.57355
0.5530999999999999,0.4134333333333333,0.6030444444444444,0.5122,0.60486,0.57355
0.576,0.5354000000000001,0.5656444444444444,0.5932833333333334,0.5543266666666666,0.57355
0.3595333333333333,0.5684833333333333,0.5868111111111112,0.592625,0.63022,0.57355
0.6292,0.6335166666666666,0.6412111111111112,0.6033000000000001,0.5750666666666666,0.57355
0.6144333333333333,0.5642333333333334,0.6004666666666667,0.574775,0.5546466666666667,0.57355
0.6053,0.5746833333333333,0.6051333333333333,0.5357000000000001,0.5476266666666667,0.57355
