n units 1000,n units 2000,n units 3000,True Effect
0.38280280597621996,0.4408501998858347,0.4693165782861579,0.437
0.4289156285506597,0.4727440466735734,0.45541053872830145,0.437
0.5844036887970743,0.4370652996383946,0.5432591262433455,0.437
0.5583364028832408,0.527517246510236,0.5031920042299912,0.437
0.5562497796270092,0.3311197173445539,0.4743596740445853,0.437
0.5138546918467011,0.4665323128648767,0.5098127834942267,0.437
0.3406066459509928,0.36031953110723514,0.5243264754494085,0.437
0.6023389715914027,0.44012317396166706,0.41424554394624286,0.437
0.4931808352122011,0.5170789319801914,0.5653775296615333,0.437
0.41668668340346265,0.5251420384057995,0.48853230695184313,0.437
0.46256210788301433,0.4236802716954736,0.5214151363237192,0.437
0.44595070596389574,0.47474470754514964,0.4701189189086825,0.437
0.27105592137435147,0.5371206029316675,0.5042984177725444,0.437
0.4365964245417123,0.38004983007409016,0.4357576310161787,0.437
0.39646851969963337,0.5273447225580673,0.5572239927153848,0.437
0.30726114381733083,0.47480763989700814,0.4149771108972998,0.437
0.5161305479077524,0.4871246319935297,0.5139898534797344,0.437
0.5671120069334157,0.4373737869129505,0.3937595047644852,0.437
0.4164074461624372,0.416299289657123,0.45342867432092676,0.437
0.5499875388604532,0.42377460498133396,0.4809324006294754,0.437
0.42990223170449965,0.532276819824589,0.5000842754598567,0.437
0.238127781645453,0.3697180194230207,0.4832665758052788,0.437
0.44892008365728325,0.4444775363190916,0.48931009509740553,0.437
0.4599649064070561,0.3993940681639154,0.4569279398092934,0.437
0.5256062315936914,0.5045492879911999,0.4250814427137254,0.437
0.45447799486999646,0.5035672720481992,0.42980189067365454,0.437
0.5448172597184356,0.40473581931566144,0.4478187201479045,0.437
0.4465508247789596,0.3955213786935447,0.42250273209703154,0.437
0.5213443277093988,0.4630431067980971,0.4327713276475699,0.437
0.5215652419105048,0.4790109778681313,0.4345951231632023,0.437
0.4239029433279521,0.4595208601376377,0.4907427697990447,0.437
0.5083635391725313,0.5857003941935951,0.49354200212681,0.437
0.5384471230499712,0.5085802125898451,0.4529068449829219,0.437
0.5060706887931944,0.5068965441657789,0.36056760543885585,0.437
0.5796527835688365,0.4903110044454371,0.5227804886357955,0.437
0.594979175905367,0.47429250083744656,0.5071946881806494,0.437
0.328157548725717,0.5058235080011845,0.5068067129079034,0.437
0.5219504044772322,0.45904135261245116,0.49546931399092464,0.437
0.48229969997318733,0.4874130654301659,0.49277804656503255,0.437
0.43992421987902774,0.5510855911917436,0.39986675028192553,0.437
0.4537146341029273,0.4844469575898997,0.4320501774939733,0.437
0.4387014650417093,0.46992863675576463,0.4642864814165221,0.437
0.4604382647253379,0.40224723264847156,0.4127859434316032,0.437
0.5090383197923721,0.5163691701579125,0.5121717067544905,0.437
0.3407923827718034,0.4540075337963731,0.4468568697187507,0.437
0.48855540840344547,0.5359505101315813,0.5337693124864796,0.437
0.4256215570237691,0.5099714216174802,0.455024881563018,0.437
0.41813537572916165,0.5444633937159528,0.5204574016586602,0.437
0.370336037770482,0.49596927862882517,0.4380844427351757,0.437
0.43754482162847735,0.5486584702068109,0.44256265792765964,0.437
0.45769371421795496,0.48652080606076537,0.43488685946101946,0.437
0.4781534268413431,0.5795805733407218,0.4213936412876374,0.437
0.35078665516061464,0.5134725493661645,0.533721856501526,0.437
0.48071774890819813,0.38299416090713617,0.5534598946966023,0.437
0.4693267170421833,0.4232366338552057,0.47580895688721764,0.437
0.4470387865929781,0.4387507879516638,0.3898058680912537,0.437
0.49887044559321375,0.42878103321786837,0.47158662651512634,0.437
0.44541698174108424,0.4816880839307065,0.45327837803166476,0.437
0.3633873203725895,0.41566556877619526,0.34430238280789677,0.437
0.5457370900533846,0.47306880093866305,0.5099378661565519,0.437
0.3146753740423715,0.2125446868363351,0.46573379573818047,0.437
0.36819593682880747,0.4021893941476698,0.5019303971917464,0.437
0.4650424939852181,0.557586034177843,0.4788897011386602,0.437
0.4971292655146291,0.4817878423527404,0.4505948614153558,0.437
0.5297031700235801,0.42218331658439134,0.4801525928816948,0.437
0.48422630470061806,0.5063490824379037,0.41618033561366197,0.437
0.5292937323458039,0.5184687441161003,0.5511091829412545,0.437
0.5446455942106686,0.5548241876013401,0.5255856448976189,0.437
0.3313453469018428,0.42545192996315573,0.39272211347409763,0.437
0.5385386029896355,0.48108385606172926,0.3849428034883703,0.437
0.428265028071536,0.42712761058803445,0.47529299242018325,0.437
0.5152330743169004,0.47996176068217095,0.49000959166301067,0.437
0.3833322720279391,0.49146959499566323,0.41423001284582317,0.437
0.5839237284440087,0.5148267823463119,0.4358850273283073,0.437
0.5651862455794316,0.4475656592269137,0.44718104442858253,0.437
0.6131362949617141,0.4302581277856799,0.45003852187239335,0.437
0.5050342215600455,0.4706835594739623,0.39322902944790816,0.437
0.309796894211414,0.44915302969434473,0.45147585067101975,0.437
0.42116048319667293,0.4669998682284957,0.4559285306310349,0.437
0.49997034904912363,0.4268173840561356,0.5098278229395076,0.437
0.5245110178369486,0.5398681968036312,0.4859004381213467,0.437
0.3003400062741839,0.4938113236937187,0.48053821322162626,0.437
0.5247325431082874,0.4076991223744752,0.4978230566070636,0.437
0.5274952343488869,0.49374590356741843,0.44970130217860316,0.437
0.5083875162450189,0.49626090238321624,0.4891910910891624,0.437
0.5947525229257149,0.4974345097122578,0.4164519152432797,0.437
0.23055079815561147,0.532465610138024,0.47094814715021144,0.437
0.40683858944880325,0.4307662469999185,0.3832835802379829,0.437
0.5560890314909331,0.48504241507399604,0.5756149084410443,0.437
0.5020866951595729,0.4381413594939779,0.5154340897683524,0.437
0.5569316743012402,0.41673879970488087,0.387106033453905,0.437
0.3804340353540978,0.5031226438029446,0.5302798352115895,0.437
0.5038914202420313,0.42326321899461605,0.48465224300154813,0.437
0.42377813516218116,0.4384134385231647,0.4848060316857255,0.437
0.45493297928653303,0.4883036676310179,0.49005664360204537,0.437
0.3834428457785294,0.4789868784342783,0.4601009613560114,0.437
0.4815453465515176,0.43717891753683297,0.49402704089606353,0.437
0.48138115657046304,0.5154894992374621,0.4936895711075168,0.437
0.41227415998581485,0.483589402104909,0.47132161768840075,0.437
0.5244202993588959,0.491306703964492,0.48032014799182043,0.437
