n units 300,n units 600,n units 900,n units 1200,n units 1500,True Effect
0.2723333333333333,0.4936333333333333,0.5951777777777778,0.4444,0.49572,0.421345
0.4261666666666667,0.44205,0.5103888888888889,0.414075,0.3811733333333333,0.421345
0.5269666666666667,0.4943,0.36067777777777776,0.377875,0.40052,0.421345
0.5526333333333333,0.465,0.4562111111111111,0.3822083333333333,0.36511333333333335,0.421345
0.5215666666666666,0.38658333333333333,0.23378888888888888,0.5404666666666667,0.46323333333333333,0.421345
0.5880333333333333,0.3392,0.4816888888888889,0.4379166666666667,0.4971466666666667,0.421345
0.0953,0.27848333333333336,0.5084222222222222,0.34260833333333335,0.41178,0.421345
0.4953,0.4667,0.3999,0.24549166666666666,0.39964666666666665,0.421345
0.43356666666666666,0.3526,0.43174444444444443,0.4250583333333333,0.36096666666666666,0.421345
0.09013333333333333,0.46573333333333333,0.5481222222222222,0.4608333333333333,0.38572,0.421345
0.15863333333333332,0.43378333333333335,0.16005555555555556,0.47533333333333333,0.46930666666666665,0.421345
0.4728,0.36393333333333333,0.36384444444444447,0.4530666666666667,0.49722,0.421345
0.35083333333333333,0.5006833333333334,0.40446666666666664,0.4378,0.46870666666666666,0.421345
0.43173333333333336,0.31801666666666667,0.13882222222222224,0.45081666666666664,0.4819733333333333,0.421345
0.49183333333333334,0.25716666666666665,0.5315888888888889,0.4643,0.37062666666666666,0.421345
0.4004333333333333,0.4685166666666667,0.4072222222222222,0.5123666666666666,0.42064,0.421345
0.3147,0.45858333333333334,0.3105777777777778,0.4227166666666667,0.5518066666666667,0.421345
0.2391,0.35665,0.2964333333333333,0.48775,0.43788,0.421345
0.15126666666666666,0.39375,0.3633777777777778,0.4876,0.48682,0.421345
0.5305,0.4588,0.3964888888888889,0.2816,0.41372,0.421345
0.044033333333333334,0.3004833333333333,0.44054444444444446,0.2892166666666667,0.45506,0.421345
0.2668333333333333,0.46921666666666667,0.42005555555555557,0.40465833333333334,0.46104,0.421345
0.1554,0.5665333333333333,0.5290222222222222,0.242225,0.46726,0.421345
0.39163333333333333,0.42396666666666666,0.3531666666666667,0.19254166666666667,0.4791666666666667,0.421345
0.3943333333333333,0.5140666666666667,0.5216444444444445,0.3852333333333333,0.4652266666666667,0.421345
0.2581,0.32881666666666665,0.5442444444444444,0.5080833333333333,0.34534,0.421345
0.4656,0.40945,0.5245,0.4303166666666667,0.4786533333333333,0.421345
0.042466666666666666,0.3375666666666667,0.17095555555555556,0.31829166666666664,0.42071333333333333,0.421345
0.5864666666666667,0.23715,0.4280777777777778,0.418975,0.42412666666666665,0.421345
0.3767,0.44315,0.09727777777777778,0.27544166666666664,0.35698,0.421345
0.3853666666666667,0.4127,0.4424111111111111,0.40350833333333336,0.40128,0.421345
0.408,0.4564,0.29186666666666666,0.4912166666666667,0.5057733333333333,0.421345
0.5138666666666667,0.2866166666666667,0.5052444444444445,0.352325,0.48371333333333333,0.421345
0.5341333333333333,0.49398333333333333,0.29073333333333334,0.38111666666666666,0.49409333333333333,0.421345
0.3323333333333333,0.4806666666666667,0.4717222222222222,0.47670833333333335,0.4992333333333333,0.421345
0.4363666666666667,0.46463333333333334,0.4336888888888889,0.41055833333333336,0.431,0.421345
0.2067,0.38781666666666664,0.4822777777777778,0.2854083333333333,0.4970133333333333,0.421345
0.3522666666666667,0.18863333333333332,0.46904444444444443,0.49983333333333335,0.37221333333333334,0.421345
0.4076666666666667,0.49445,0.48875555555555555,0.401075,0.42905333333333334,0.421345
0.13806666666666667,0.3803666666666667,0.35255555555555557,0.3914416666666667,0.49078666666666665,0.421345
0.4666666666666667,0.4188,0.39445555555555556,0.4478916666666667,0.2547933333333333,0.421345
0.20046666666666665,0.41685,0.4009666666666667,0.470175,0.52608,0.421345
0.29956666666666665,0.5096,0.5302444444444444,0.47115,0.42457333333333336,0.421345
0.5136666666666667,0.3936,0.4351111111111111,0.4826416666666667,0.38106666666666666,0.421345
0.29023333333333334,0.5438833333333334,0.30624444444444443,0.30914166666666665,0.26162,0.421345
0.48256666666666664,0.33385,0.3914666666666667,0.36878333333333335,0.47132,0.421345
0.3742666666666667,0.41326666666666667,0.4476777777777778,0.4534166666666667,0.43178666666666665,0.421345
0.719,0.25981666666666664,0.5194666666666666,0.4131416666666667,0.4044,0.421345
0.44606666666666667,0.44525,0.3126111111111111,0.3859916666666667,0.41839333333333334,0.421345
0.4721,0.3835166666666667,0.12167777777777777,0.44505833333333333,0.5137533333333333,0.421345
0.4095,0.13405,0.10434444444444445,0.45126666666666665,0.3394,0.421345
0.5947666666666667,0.5921833333333333,0.46364444444444447,0.42440833333333333,0.38375333333333334,0.421345
0.3662666666666667,0.040683333333333335,0.6047,0.33015833333333333,0.4889866666666667,0.421345
0.5549666666666667,0.398,0.46145555555555556,0.453575,0.4761666666666667,0.421345
0.5233,0.5025833333333334,0.4402888888888889,0.3183166666666667,0.44956,0.421345
0.05446666666666666,0.48165,0.21665555555555555,0.381575,0.3610333333333333,0.421345
0.4936,0.36351666666666665,0.4647777777777778,0.41335,0.3727666666666667,0.421345
