n units 1000,n units 2000,n units 3000,True Effect
0.42751669466834114,0.4313311033332127,0.3483989321369937,0.437
0.47968268952203413,0.3558779491689731,0.4552776771381525,0.437
0.4580188046563355,0.4051900259056305,0.4265560076424608,0.437
0.3477036140141912,0.21092562727215994,0.23904523182865067,0.437
0.38512860675539096,0.27425249207857916,0.34018850089926417,0.437
0.48566315149881434,0.4051173976704666,0.5212450131635284,0.437
0.5123492199955269,0.39582107843821684,0.3400867669469901,0.437
0.051720215603921024,0.457064905957475,0.4576469967601949,0.437
0.3207617899975217,0.39923037720082116,0.20963443792610253,0.437
0.5043671992202438,0.3899613024152181,0.4883527295839559,0.437
0.4408414980348629,0.44490488040455367,0.32361970574425275,0.437
0.3042929447666791,0.18398929558624055,0.3749485288789475,0.437
0.4502491716201883,0.3298410065953566,0.3060375744371741,0.437
0.3096432744599049,0.3090725319760371,0.22312730750416637,0.437
0.3836040021271583,0.5065387970179436,0.38617561570691283,0.437
0.35731877073027696,0.306673841611407,0.3886819093800512,0.437
0.1709246843578082,0.24161530861554592,0.3767825793369519,0.437
0.3069551725955792,0.2615404719158972,0.4550193971272421,0.437
0.36065017215511247,0.27982695664724355,0.31451090679602045,0.437
0.37227265573276164,0.3558682193249201,0.28485869470565467,0.437
0.20350600558081683,0.436017379273724,0.26841875539544235,0.437
0.27878667068497986,0.34653280306995154,0.35678250966747316,0.437
0.3691984648089767,0.40138949347226566,0.31069015519343,0.437
0.47873499638125033,0.40103713892556514,0.41957291700120775,0.437
0.3940758695856743,0.25150170668048094,0.4881748243751406,0.437
0.243902294961251,0.4974504172669722,0.39860511668694326,0.437
0.3555283828525786,0.2947809348235215,0.3474379061049306,0.437
0.5749245051568539,0.4947464512520166,0.3740942004800012,0.437
0.32935571646187745,0.1922276180263843,0.3744181591626263,0.437
0.44198092771344144,0.4027599480073629,0.2866072503541076,0.437
0.21118781140303844,0.3820024702925907,0.4490806034776136,0.437
0.37013699671103173,0.20863163029763393,0.2918673693430431,0.437
0.2569351669594764,0.45502747626598483,0.34829770030293916,0.437
0.1414337187017499,0.2714677817087605,0.4407006954224474,0.437
0.2802377669542152,0.268882507410422,0.3569167478541406,0.437
0.4430533091874235,0.45586022682902105,0.3382737433347146,0.437
0.3895277486546349,0.3783291117749441,0.48254602958566045,0.437
0.39000720383235915,0.41900509771821437,0.45745442944193654,0.437
0.33790003084323456,0.281088825332747,0.3980302294239362,0.437
0.4131094958763015,0.49496286857402566,0.3246112914414094,0.437
0.2372572729865238,0.42884726962180847,0.29775985728882287,0.437
0.37197278076874235,0.42888613064512005,0.3660578270028795,0.437
0.37091093395544383,0.42717169998009447,0.37838213354304395,0.437
0.41646235632777107,0.3791345542572676,0.38088143332464053,0.437
0.4255101566564547,0.3513049833226388,0.3296440464660305,0.437
0.39241356585712345,0.39292326747864587,0.40075624205191174,0.437
0.41486542624804124,0.1495049017406718,0.47947152666821125,0.437
0.2644784622988327,0.17036944570005638,0.25863900178557836,0.437
0.3679206927162342,0.3445232389492053,0.3439017065042903,0.437
0.42377400933328835,0.3396878650089468,0.3269521582890019,0.437
0.2869975122160507,0.36898850530271327,0.4705351612302062,0.437
0.4654986538324123,0.3598524023744103,0.37020489669039874,0.437
0.24356397141654668,0.3954063379244288,0.385726939562146,0.437
0.5042772655081801,0.3535078428130647,0.2664690574456772,0.437
0.4906757813446863,0.3215229473666617,0.3614639370777947,0.437
0.4939243657115576,0.3484218435269923,0.3707898271541033,0.437
0.3584206291287802,0.46002388562614727,0.3021505184877656,0.437
0.4945430942650289,0.27068509433858606,0.2989097447996392,0.437
0.342130902111324,0.2954600031606403,0.3566263692554644,0.437
0.4949900858970879,0.4181630651559426,0.3931530228252308,0.437
0.33742832471766865,0.34161071945293975,0.4323227386943103,0.437
0.4097607519791892,0.34997970296849606,0.42811638368666927,0.437
0.32212383122510485,0.4503042939061454,0.31722407123197127,0.437
0.31487287624434307,0.32109421891785833,0.26309718975024227,0.437
0.32604420760520053,0.4291689719789863,0.4062667784995161,0.437
0.2164221700959232,0.4856629720760209,0.38475003598315494,0.437
0.07043729875636583,0.4829438504196192,0.3875888982964922,0.437
0.49212139592102633,0.30128744949950775,0.3795186554925918,0.437
0.42609751292291037,0.42913154379593965,0.4187108350246465,0.437
0.3129863936140897,0.4601083634738324,0.4579564468671461,0.437
0.27780512523437223,0.3907615982246327,0.44501219193309033,0.437
0.2595211377613033,0.3800574428168115,0.34583925401388277,0.437
0.3958025390292189,0.38126848374563155,0.3899402576180954,0.437
0.36923396008260495,0.3103585919961204,0.4254567407554955,0.437
0.28185288755797555,0.39336118221297217,0.24210482446126008,0.437
0.4096254760965877,0.42912426749155796,0.3092939955297653,0.437
0.41880612431082465,0.40936127679778916,0.33885459794083833,0.437
0.23697519109120171,0.3031657440307028,0.34652981578339115,0.437
0.29894220202468963,0.36528167314755267,0.26279142057749233,0.437
0.07983194913299764,0.31525129924501905,0.42201644917193987,0.437
0.524581739194906,0.33963506823171685,0.3328476476766974,0.437
0.3560284553841257,0.28467057160046366,0.06200953598307899,0.437
0.3774072187012908,0.20669478154276388,0.46916880376153497,0.437
0.49632729796608954,0.29909551344368973,0.39393513534763985,0.437
0.2680876398911811,0.4361093104081212,0.34742290133145726,0.437
0.40451846150203113,0.4655161763586634,0.332844013854766,0.437
0.32559360388843,0.4619153032304945,0.37803708918010825,0.437
0.23229916428110356,0.14417904150350902,0.1845834652560456,0.437
0.30141192733554406,0.3858740197587691,0.2920590809578825,0.437
0.30145635263385934,0.34603417294960864,0.43580807972751673,0.437
0.5073824950818897,0.461676050083135,0.21701966855054777,0.437
0.47099684402890124,0.493567478188953,0.4464086224428022,0.437
0.32752131746499263,0.41231401644725213,0.3648366675271996,0.437
0.2980138569644815,0.3729752280573748,0.25489762051293713,0.437
0.36925116519411233,0.40317519311606753,0.32058772354047355,0.437
0.40995344689651037,0.4401790738459632,0.5116642497027758,0.437
0.2491913608623003,0.4061798285993145,0.42633531039336753,0.437
0.1860915394566724,0.40478875895683725,0.3946728307985105,0.437
0.2748211486971666,0.47251680509879296,0.3488746463952294,0.437
0.28810470938777666,0.34840858560881854,0.22834922911402658,0.437
