n units 3000,n units 5000,n units 8000,True Effect
0.07500999999999997,0.064668,0.06929625,0.070625
0.06383333333333335,0.06429200000000002,0.07963999999999999,0.070625
0.05923666666666666,0.07364200000000004,0.07528124999999997,0.070625
0.07563666666666669,0.06950799999999996,0.07568124999999998,0.070625
0.08021666666666666,0.07013199999999997,0.081455,0.070625
0.053036666666666676,0.06462400000000001,0.07125999999999999,0.070625
0.08654666666666666,0.05902200000000002,0.07074250000000004,0.070625
0.08215666666666666,0.058982000000000034,0.06655875,0.070625
0.06320666666666663,0.06206399999999995,0.06094375000000002,0.070625
0.08174000000000003,0.07299800000000001,0.060286249999999986,0.070625
0.06967000000000001,0.07610800000000001,0.07490124999999997,0.070625
0.06244333333333335,0.07501999999999998,0.05499375000000001,0.070625
0.08764,0.07577,0.07471750000000005,0.070625
0.08141333333333334,0.07040799999999997,0.09040874999999998,0.070625
0.08970999999999996,0.061554,0.061377499999999974,0.070625
0.10517333333333334,0.07000999999999996,0.07128625,0.070625
0.08247333333333334,0.06990000000000002,0.08457124999999999,0.070625
0.06373000000000001,0.063888,0.08466499999999999,0.070625
0.06910333333333335,0.07507999999999998,0.07786624999999997,0.070625
0.06042333333333333,0.08663199999999999,0.09113750000000004,0.070625
