n units 500,n units 1000,n units 3000,n units 5000,True Effect
0.460467510370685,0.43612880144822913,0.4201241425677558,0.48104676860056894,0.437
0.26308623231551787,0.46527964952151607,0.5982566307235316,0.42191900986187364,0.437
0.12573623511232557,0.44488752956669975,0.44022294779578247,0.4265959388256234,0.437
0.5414982181414141,0.2165066357816356,0.5549722302864999,0.372963973581563,0.437
0.44258241200432896,0.43604393669379093,0.3892917378013291,0.5003175553639425,0.437
0.41322402066194897,0.514747428580794,0.5151507055640936,0.4940218031838921,0.437
0.3913562794671441,0.20323068109534306,0.34801382075045906,0.3294990554216814,0.437
0.36243625541085056,0.5603523659280718,0.4631487844842534,0.19913307162318755,0.437
0.7037977569336219,0.22483708929627316,0.4324495829945792,0.2618095706395892,0.437
0.20779109011255417,0.4858249946585491,0.43277957681346985,0.46150497454972195,0.437
0.37178200716827614,0.4277882340085331,0.5340211754497731,0.5681722957939613,0.437
0.6380658625424575,0.1786642192869832,0.4666242205806862,0.3728077755286557,0.437
0.37535955260678194,0.2539244286649713,0.323426761027075,0.4942515281559612,0.437
0.1274025275078255,0.5012057130546356,0.5582616848030426,0.40486867723275743,0.437
0.31283336765778674,0.5166654196413422,0.42584583285100724,0.3918649284145938,0.437
0.44647616614857344,0.4354206577240917,0.4305024485698283,0.4484888867499416,0.437
0.16549657963630812,0.17894992994194397,0.5557006109072877,0.47964858186826675,0.437
0.6024126480064935,0.2742691168213903,0.35699038876608497,0.49435950356207675,0.437
0.45846236119191897,0.42859781449920725,0.39072119561220575,0.4014880797929231,0.437
0.4237849571890332,0.3839456655736174,0.48953937481225307,0.484497869208832,0.437
0.08629384229115333,0.38096302455008724,0.24624608449543614,0.3604140984524051,0.437
0.3859483507543568,0.5965077889172622,0.4546590395351584,0.5848463505886687,0.437
0.4187841603852814,0.3217386502168752,0.4187752437322041,0.4924001294738206,0.437
0.4844237866632812,0.5904807403344665,0.569553451023972,0.5288365195345156,0.437
