n units 3000,n units 5000,True Effect
0.4943512456515853,0.21032571310209758,0.437
0.4361520389485044,0.3388591238649021,0.437
0.32337781717087105,0.5118434797435395,0.437
0.411186335004285,0.2767556999540086,0.437
0.5381569696270272,0.347054038365724,0.437
0.37220354622892443,0.5229015302757624,0.437
0.33812458146609803,0.4691654805567258,0.437
0.485020668072936,0.49773981720896726,0.437
0.5473756398867501,0.526913578872249,0.437
0.47553707041571197,0.3485328551135706,0.437
0.46376514185760964,0.5027912736744043,0.437
0.44089166054306156,0.3640333246586764,0.437
0.5509099473335289,0.3525854176685776,0.437
0.5070234403664223,0.40608551915146585,0.437
0.5489504886098439,0.5224153385972601,0.437
0.4267514098371166,0.585887777338977,0.437
0.22658247342060828,0.4866166388196543,0.437
0.4144735185219561,0.5059931866692513,0.437
0.2330567477184555,0.4412429765837544,0.437
0.2815489991364193,0.4267950588360752,0.437
0.19051909133349615,0.24978980864894856,0.437
0.19195422013221713,0.3070243654923424,0.437
0.4641783142685674,0.32503049309277415,0.437
0.5066452732951788,0.5259137040750839,0.437
0.5891183958158447,0.3557018250200515,0.437
0.40859503439744344,0.5168856353053223,0.437
0.3084615702833139,0.4657505632761275,0.437
0.4373942404881676,0.4505465440328968,0.437
0.49702712202838667,0.5177218827776613,0.437
0.42400822107664154,0.47128008012408,0.437
0.38333033945744127,0.57670430174404,0.437
0.6031062212009461,0.560071607100781,0.437
0.4294959411674649,0.061969647913269824,0.437
0.541936331384628,0.5492604804429814,0.437
0.2033768849768909,0.5255548982854367,0.437
0.5522009779907036,0.3388363517973543,0.437
0.3984291237239993,0.4511017805920682,0.437
0.4254768276636701,0.5061761023046578,0.437
0.44105493592247613,0.30212530873753257,0.437
0.14834239983191616,0.5086586839841866,0.437
0.6216197544399429,0.5606774570603977,0.437
0.4402145375043991,0.48753560804174606,0.437
0.49278775847108763,0.3720690055336314,0.437
0.5568094235155231,0.502167929285554,0.437
0.5044634021595775,0.48114335386551593,0.437
0.4887420305712714,0.5058013070991362,0.437
0.38814938315920894,0.27085026213560565,0.437
0.49529931753201784,0.5840161276714023,0.437
0.34627575552682455,0.16774274498183875,0.437
0.5647730025007597,0.3339342998966457,0.437
0.2844722377499903,0.4354610367417034,0.437
0.32095597020803723,0.34048112612799514,0.437
0.20832281044227557,0.2533204218364037,0.437
0.2945211990822753,0.42913277557080043,0.437
0.5228312108059965,0.2867487070159628,0.437
0.5640715861775683,0.400295923112729,0.437
0.5342507291475574,0.3552570717662983,0.437
0.4606388170982793,0.5046867485002059,0.437
0.1968985518224054,0.3221158910264795,0.437
0.4348622620155958,0.4539242172965316,0.437
0.4227875217635942,0.27408167422181895,0.437
0.16940857854187066,0.4277309572257922,0.437
0.38892061606321365,0.4131021331793681,0.437
0.5539034789504008,0.5615450769484283,0.437
0.5645519534558503,0.4323547345096817,0.437
0.4889836983733534,0.3760182008567547,0.437
0.46001799462685256,0.5195280259302111,0.437
0.31297849329945426,0.5711543839543544,0.437
0.504636633938565,0.15280695203218736,0.437
0.5098602245944718,0.46707846011580967,0.437
0.3407369968831344,0.5887696553225751,0.437
0.40449143972149715,0.6116207670534136,0.437
0.5077935980460293,0.4987745514429774,0.437
0.421059644159366,0.3652588874214727,0.437
0.45369712523238137,0.39078738926626705,0.437
0.2305433519747238,0.2551388699293438,0.437
0.421242802282571,0.37088655684487776,0.437
0.301782244448716,0.3808081481646042,0.437
0.4084332588718293,0.38734853056949514,0.437
0.3926930185862146,0.5001821408553802,0.437
0.4841973866323948,0.3303998870871753,0.437
0.5354228965386987,0.3999486943291004,0.437
0.4687333915450502,0.49103887266433294,0.437
0.5960958486671515,0.5254115042580834,0.437
0.4671185671529494,0.23345006569563007,0.437
0.4116616234746871,0.23302548955132096,0.437
0.41817573162411015,0.4186626842419353,0.437
0.45820141975768514,0.5063549842587876,0.437
0.5365169722864978,0.4055265735511539,0.437
0.4447113219439906,0.5431163523705278,0.437
0.334789700205673,0.5594524572800554,0.437
0.12113837201288678,0.4358518402711708,0.437
0.48595977015263686,0.3436763900274079,0.437
0.3418016081264037,0.4901880751634974,0.437
0.5552888227653955,0.49629429939847336,0.437
0.23484673191232838,0.5063421385681386,0.437
0.47414757476664915,0.37154206931318384,0.437
0.5165330843846551,0.5016398601275025,0.437
0.582783024022168,0.40108374809794406,0.437
0.28189536375000357,0.563537348016955,0.437
