true_model,data_source,network_size,effective_sample_size,test_bootstrap_iters,ML_model_name,tuning_param_grid,L_lower,L_upper,L_result,Y_lower,Y_upper,Y_result
BBB,../data/binary_sample/,200000,2000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.006197612172198433,-0.0037892888464462343,B,-0.0036794279249962396,0.003640298055533448,U
BBB,../data/binary_sample/,200000,2000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.0075226090104704825,-0.0028075212316311634,B,-0.0038574883858388553,0.004525849427621323,U
BBB,../data/binary_sample/,200000,2000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.0015160270378490035,0.003394846600797556,U,-0.004819420288602756,0.002569334201870039,U
BBB,../data/binary_sample/,200000,2000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.008691770665769599,-0.006588757358803806,B,-0.0033370897811532893,0.001802121486098572,U
BBB,../data/binary_sample/,200000,2000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.011425746014179191,-0.006096115740261655,B,0.0006943973738892232,0.012059674506009659,U
BBB,../data/binary_sample/,200000,2000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.007480765905116433,-0.004710195400717337,B,-0.0027951300475072714,0.0012682845979952344,U
BBB,../data/binary_sample/,200000,2000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.007209018057357292,-0.004494318477868458,B,-0.0029723927843131603,0.002858338978753459,U
BBB,../data/binary_sample/,200000,2000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.01481505978479104,-0.009220170929454818,B,-0.006958376878277822,-0.001376474596995226,B
BBB,../data/binary_sample/,200000,2000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",0.0008339658658658323,0.005934051720518169,U,-0.006833560899668479,-0.0019397415051371379,B
BBB,../data/binary_sample/,200000,2000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.005930451999163878,-0.0037374773196264623,B,-0.0008897549190208887,0.005625798890060296,U
BBB,../data/binary_sample/,200000,2000,300,LogisticRegression,"{'C': [0.001, 0.01, 0.1, 1, 100, 100000], 'penalty': ['l1', 'l2'], 'solver': ['liblinear']}",-0.006865805888414794,-0.005191284287289823,B,-0.0012337302739173176,0.002957688036014936,U
