n units 500,n units 500 L_est,n units 1000,n units 1000 L_est,n units 2000,n units 2000 L_est,n units 3000,n units 3000 L_est,n units 4000,n units 4000 L_est,n units 5000,n units 5000 L_est,True Effect
0.4021908502473566,"(0.3471026934989734, 3.471026935989734, 0.6476282741925566)",0.3121366461808905,"(0.16201902515419947, 3.192861184640179, 0.6472280454657211)",0.5052265355464577,"(0.33404932972363466, 3.3404932982363467, 0.7806793301777932)",0.35832742738275847,"(0.2193405313634935, 3.627825671549493, 0.7806361944427371)",0.4088194507068882,"(0.2591656203200217, 3.665374046242891, 0.7396794251731523)",0.37144510005321674,"(0.047911582544671066, 3.335162352799053, 0.6904477963471092)",0.4279034
0.4542980407643043,"(-0.3804656596061192, 3.8046565970611925, 0.5552938594761543)",0.40150199590965197,"(0.09805995649620863, 3.3653078985628064, 0.6708811584268692)",0.5305163274354233,"(0.008783789002576727, 3.363402506269213, 0.5589038256376698)",0.43230626348244994,"(0.08579746632727155, 3.7309936103564545, 0.7470802491627241)",0.3347931298409868,"(0.3514100664699252, 3.6033222305329464, 0.6267094502276088)",0.47468564587607115,"(0.3364683576855551, 3.419867188526743, 0.6464923728787921)",0.4279034
0.44767377187176205,"(0.36681012886259534, 3.774745036573228, 0.9134107534632379)",0.540860800437994,"(0.05835764897006731, 3.6141279548091645, 0.7842903177128574)",0.3363496809573178,"(0.2672156642971306, 3.400235953361555, 0.7066871402206943)",0.3862067962992179,"(0.29363077786068675, 3.295108062958553, 0.6778990215592303)",0.37013515369710664,"(0.3442637664731222, 3.442637665731222, 0.5729179756227354)",0.4257587288123125,"(0.3190211075097417, 3.3568809118759773, 0.7514964172640279)",0.4279034
0.4544306970207757,"(0.38636787003190276, 3.8636787013190275, 0.5820048127117616)",0.3830016867307244,"(-0.276759013026936, 2.991690357099055, 0.6755203674619824)",0.49059695523451113,"(0.20126645695090145, 3.4470463301073138, 0.6770725930509085)",0.4633909411463548,"(0.08045115684220042, 3.455683093114092, 0.6205716406724143)",0.423839323368147,"(0.23219783018544557, 3.4290069210560064, 0.6523624458559928)",0.42411547958937557,"(0.17114598891500124, 3.507642012310932, 0.7576240643378062)",0.4279034
0.44119987038031266,"(-0.16610770493714744, 3.500647944197107, 0.8490289009258706)",0.4407148975865463,"(0.16902837871720497, 3.5998994075459847, 0.7668781703243085)",0.35856960893841083,"(0.0009888273447311807, 3.308592894219634, 0.6868962678724481)",0.42788318985148793,"(0.15637749826251016, 3.5673979196790726, 0.7404475128064931)",0.36444304951336826,"(-0.0954650797220567, 3.6389888595905555, 0.624212051166836)",0.41601740846900687,"(0.22230502031273094, 3.626353368306519, 0.6756683890532301)",0.4279034
0.3322519751233317,"(-0.21093903345091372, 3.4205536357921487, 0.6969806221716415)",0.4138065218644221,"(-0.02663053236740731, 3.8296134422281325, 0.5944163614060977)",0.31061715033285076,"(0.07154580766345238, 3.439531271204418, 0.6387984082027697)",0.38272096531956623,"(0.33147907257416964, 3.545015019165273, 0.6407179165123589)",0.39647601359213136,"(0.15663855847441696, 3.4833762806804303, 0.6686762897905387)",0.4238572174087113,"(0.3571760425838889, 3.571760426838889, 0.6974205350450142)",0.4279034
0.4418961229951977,"(-0.17400790191145482, 3.466636355169295, 0.9127950397292636)",0.3365345763611292,"(-0.2378028246321505, 3.0035635195832877, 0.7217491941378348)",0.26954411489998287,"(0.26296484369786244, 3.1425606164289066, 0.741844857912784)",0.42468795166044976,"(0.3537164905193449, 3.537164906193449, 0.793649122474436)",0.42932485767641243,"(0.3546124907762899, 3.5461249087628994, 0.6977414886370767)",0.3899798599152238,"(0.09834536813143441, 3.41629252363105, 0.7873383190716826)",0.4279034
0.34513320282287246,"(0.22663949949336776, 3.4176227001836836, 0.7078901809817475)",0.41295643182236286,"(0.3330310781161404, 3.3303107821614044, 0.87528111471171)",0.5472146671433636,"(-0.060506691898095266, 3.265326124643437, 0.653174020440103)",0.3834950297182982,"(0.36576982306928685, 3.6576982316928683, 0.6916497044395331)",0.44471081048039646,"(0.2571546531828722, 3.6131502497544745, 0.7273087465855133)",0.4610034664484626,"(0.16543685189127535, 3.580805315539318, 0.7391484388067605)",0.4279034
0.393238911482691,"(0.3505857712425304, 3.505857713425304, 0.6599566558962867)",0.38436458564231535,"(0.14603103657416944, 3.5428199290683713, 0.6529100825817811)",0.368714745666779,"(-0.24794326085377144, 3.3626960412635873, 0.7215765710545002)",0.43013056897582913,"(0.2065762660602333, 3.365976953968159, 0.7310950492998259)",0.3641688568250155,"(0.31227047330441376, 3.619522016726685, 0.6339817663762146)",0.43336714984442826,"(-0.007242213682167837, 3.4259851873091787, 0.7546285598890374)",0.4279034
0.4424010733403311,"(-0.07158320079402135, 3.9384532497752356, 0.5225795405089998)",0.45460554014769516,"(0.2891434954004117, 3.344150519139102, 0.7290434289961889)",0.5194318324364527,"(0.3332870896427284, 3.3328708974272843, 0.6413314167252919)",0.39731134548941166,"(-0.024634081346171715, 3.6657016849287634, 0.7372118727243597)",0.40483832291160565,"(0.0599853762170186, 3.4822728083716648, 0.7687170901253759)",0.43783334291188103,"(0.36018584846932117, 3.601858485693212, 0.6976971754187067)",0.4279034
0.3365962726577082,"(-0.3278291416761825, 3.278291417761825, 0.8725590495993963)",0.34097736771956094,"(0.0943699637481567, 3.647464177349406, 0.6766731228304703)",0.37559073840920865,"(0.156550734781927, 3.5131351709599765, 0.6911072828489105)",0.39639134168250756,"(0.25260532892705817, 3.4278306960633507, 0.6970484336816686)",0.4121812021461069,"(0.2671798128066703, 3.4112096694514533, 0.6690096353524227)",0.43490121112045876,"(0.33440276334478464, 3.693392329431511, 0.6879878801172967)",0.4279034
0.4077578766450157,"(0.04483755039507935, 3.954122645815143, 0.7465725564313971)",0.38075545799208566,"(0.3249751267299782, 3.249751268299782, 0.5898328690444731)",0.4513285662175828,"(0.1697466431649524, 3.1860754779147262, 0.6425818289229316)",0.376538667038856,"(0.2155255082838521, 3.2464366966970757, 0.663099036659462)",0.4305609687866897,"(0.07416698834323067, 3.47659373223618, 0.711139327170312)",0.4827096661307764,"(0.22795893642466317, 3.4853305945657804, 0.6551776360205471)",0.4279034
0.42439827786008893,"(-0.23914517154253362, 3.7358329791903406, 0.7000599293356154)",0.41173431457562615,"(0.08602708585421008, 3.716035310092141, 0.6480138307107677)",0.3417875108538905,"(0.3085880640238951, 3.5073507064504263, 0.6945131136902051)",0.4607646717122049,"(0.07549316005166572, 3.5161492690984666, 0.6510631253626061)",0.4173817502416648,"(0.1013133709136807, 3.5494794785768247, 0.7433729620397093)",0.48257136058557565,"(0.2900358156559421, 3.6397287554483757, 0.7325588328113884)",0.4279034
0.28124897774795526,"(0.34407280965028025, 3.4407280975028027, 0.7338443018938586)",0.3969664725112726,"(-0.11352050993107565, 3.604042967009985, 0.7288680974596086)",0.400154865629513,"(0.03416103610656967, 3.3975962959512325, 0.6868498298314691)",0.4097756015542295,"(0.20242728085152112, 3.459339404744741, 0.7540637577091823)",0.4170313326991143,"(0.36015966718273357, 3.601596672827336, 0.6857932806064735)",0.3535126654018749,"(0.182227433105737, 3.3274531843806576, 0.7738677780127681)",0.4279034
0.5732917112904026,"(0.2538232935069957, 4.085594897846946, 0.7243442119461969)",0.2146060033894503,"(0.3876471703742267, 3.8764717047422668, 0.846823475124044)",0.4593432656856294,"(0.3224345062776221, 3.9099758221244847, 0.6711868186752458)",0.4871720638933651,"(0.33838878485140444, 3.3838878495140445, 0.7219754740529565)",0.44662596937978216,"(0.35901809738774976, 3.5901809748774975, 0.6787963758686096)",0.42545029350998337,"(0.1304665872011447, 3.524460133503203, 0.720225168332876)",0.4279034
0.3632240522360182,"(0.12782482151605007, 4.247047537646488, 0.8632313168581189)",0.5710589822157425,"(0.1265242733628295, 3.466307792417776, 0.8998966869348276)",0.4690732765369353,"(-0.1153703562130739, 3.411443845014415, 0.7076598691167818)",0.48933526841517294,"(0.33714551127066184, 3.3714551137066184, 0.7063527398219839)",0.44492123725734156,"(0.0025072137309626328, 3.5646280782855984, 0.686550152161631)",0.3956595518659745,"(0.14794160199056725, 3.4211017324944684, 0.699913726459711)",0.4279034
0.6249562604559177,"(-0.022925857787830854, 3.8756249764002604, 0.7470848732246004)",0.5411090109853092,"(0.09605696820416768, 3.8608107883251748, 0.7341263259284173)",0.433648808536393,"(0.16152529201754648, 3.502043012808034, 0.6319842578766185)",0.4398130671036747,"(-0.2390924036012186, 3.3240535479997875, 0.6390178838277143)",0.41472127316948826,"(0.17781631260828115, 3.49127210960979, 0.7324211032778445)",0.40762121249771777,"(0.2564228965397505, 3.5354307159594756, 0.6655544861514919)",0.4279034
0.3846644663986261,"(0.4304791300249642, 4.304791301249642, 0.64176299848135)",0.37639568362408715,"(0.2734333931605995, 3.2518659188433516, 0.7832622882622163)",0.4265360861838985,"(0.1911572212994507, 3.259995743162278, 0.6867448051045019)",0.34759481276377097,"(0.12403426551281914, 3.410847541056206, 0.6877948770335746)",0.44163910272373536,"(0.3442808098330211, 3.4428080993302115, 0.6536681882809091)",0.39003140730187424,"(0.24877884659826469, 3.6284826501781233, 0.6073567672330884)",0.4279034
0.48437402506081695,"(-0.17654348751829227, 3.4969240903050447, 0.7717516561692718)",0.41603494549913334,"(0.3128136336361352, 3.1281363373613518, 0.6507032693505822)",0.509026674732506,"(0.303679544930532, 3.257102825756014, 0.8048181208581899)",0.3827098642873203,"(0.3560727783189722, 3.560727784189722, 0.6822378600556376)",0.36434535536175483,"(0.328129962777277, 3.28129962877277, 0.7253989848773416)",0.4648054400300394,"(0.3211697362701515, 3.51230736962158, 0.7015138055471353)",0.4279034
0.4561951332451745,"(0.319751305161331, 3.9674492599886078, 0.5115455399744944)",0.40208715698500325,"(0.24551257571209079, 3.368983258317939, 0.8534781140728352)",0.3680555395622502,"(0.2312797864728317, 3.740356629061203, 0.6915609215657585)",0.39218756766643975,"(0.3182439415283874, 3.1824394162838745, 0.7265376977810719)",0.4029702672506427,"(-0.029582044816246468, 3.3998851089439217, 0.7302279187277709)",0.4653793493459613,"(0.12170525472137478, 3.460418856654565, 0.6377941740390421)",0.4279034
0.4083758107146151,"(0.31000777419957076, 4.0133451143046, 0.8029449512559931)",0.47580026390303676,"(0.326232976727266, 3.522954412621527, 0.5768032190127776)",0.410792829035179,"(-0.11603966515167503, 3.150379114989706, 0.8488230054221737)",0.34721032772506544,"(0.20327006553292384, 3.4801236233378603, 0.7151968723857782)",0.4348906890689503,"(0.056079395679105595, 3.604320651498852, 0.6620475711143446)",0.4264768843926001,"(0.22158812699098246, 3.4715944018442513, 0.7841435881185218)",0.4279034
0.33841629302169696,"(-0.22245918657370417, 3.5732493766000983, 0.8838057770919688)",0.4685499415288937,"(0.35320202582523674, 3.5320202592523677, 0.5049069754861593)",0.42797620013686044,"(0.36639074112333747, 3.663907412233375, 0.6947637710905613)",0.3501875356388344,"(0.028689640600513714, 3.4427786022015, 0.7725601493296009)",0.36300740567942225,"(0.17380600385120512, 3.3686180748282153, 0.6308953025307085)",0.4546975135761237,"(0.13919055616857512, 3.5882514041928637, 0.7177033325381722)",0.4279034
0.32712508842978744,"(0.37816231469881095, 3.7816231479881095, 0.8789108319987609)",0.4065570912303091,"(0.271730583679859, 3.3751411467986445, 0.6340693232443368)",0.39786647818665516,"(-0.09445912381775072, 3.457470853510753, 0.7578309805317225)",0.5046992917411504,"(0.2434728770087232, 3.25630854565681, 0.6881723723422866)",0.38353615935253066,"(0.19991106751052654, 3.554397089076704, 0.7733643164279637)",0.4593188879941282,"(0.1823662620852212, 3.3441413740603347, 0.6645353528670782)",0.4279034
0.49501709602005134,"(-0.12342535717549159, 3.9738665820832684, 0.39431329532551185)",0.46485406207025576,"(-0.28747371501751384, 3.543393442103746, 0.7034353172907845)",0.4786850626640267,"(0.1275068179948074, 3.2575516412862906, 0.7041457929870087)",0.4166302427926484,"(0.23958124947794293, 3.9055010600116873, 0.6583866681290488)",0.4044566070871384,"(-0.13197863184397335, 3.301773338535976, 0.6265946839761056)",0.41304744586726816,"(0.21550740294527107, 3.5788082697373356, 0.6946432096008317)",0.4279034
0.4838582791274212,"(0.24433209973068493, 2.9357318326436457, 0.5108303901476121)",0.3992009683642119,"(0.18678019732908227, 3.83745259734464, 0.7937560214402769)",0.44012402867708866,"(0.26881555927293416, 3.3346468534322407, 0.6633027876177254)",0.4743633607063878,"(0.0563867545025703, 3.5580795323889527, 0.699602559588852)",0.4205215658084911,"(0.22068369326559312, 3.540676733816929, 0.7627114849329042)",0.43896804569396086,"(0.08740060729252644, 3.4975777430402215, 0.6219905967548299)",0.4279034
0.4568664447635449,"(-0.035002301579895756, 4.0288921208790205, 0.8097301045142485)",0.4700244336649976,"(-0.05852071349638156, 3.4535099765933968, 0.636787367771579)",0.49240925498919286,"(0.005253997579612465, 3.589382766460814, 0.6713367667706385)",0.34781119499066243,"(-0.14797459890305514, 3.6663334350733523, 0.7388010583899145)",0.3437013439240956,"(0.2527104723323353, 3.4710120017423796, 0.6422831424477544)",0.42533674169238556,"(0.23202679699459164, 3.5135927312184028, 0.7494795088655745)",0.4279034
0.48127310768171083,"(-0.15258970517557574, 4.067951152530828, 0.8459874230159411)",0.34274484453773063,"(-0.0017525177885868053, 3.4923721974523967, 0.7259492193928878)",0.5004565391417131,"(0.16324392969942866, 3.584259654316488, 0.7715848725214621)",0.4303830210720313,"(0.2855752521760591, 3.4654680120961463, 0.6654672635929089)",0.4885796922600123,"(0.2723688373512727, 3.5477857866452007, 0.7229131279080547)",0.40286881697282556,"(0.19846483163792702, 3.5631424094747968, 0.7185525103563545)",0.4279034
0.5013893757357876,"(0.37449408942351436, 3.7449408952351435, 0.8421916729687962)",0.41444342163310305,"(0.29871351386294387, 3.246542431612894, 0.8522191367458873)",0.42297509733466454,"(0.28093263031450344, 3.3015224576840736, 0.7332178096130874)",0.3578828790307848,"(0.36830881766323376, 3.6830881776323374, 0.6796382368158532)",0.4643957422359728,"(0.05714780636929942, 3.434557097956382, 0.7587289747039748)",0.41976579036167916,"(0.3279566602531808, 3.442074600810251, 0.7932338047617292)",0.4279034
0.40599328889879965,"(0.20500207366846826, 3.4110959960289, 0.692114763443264)",0.47484829839908665,"(-0.06326015058924653, 3.1510406767502217, 0.5615244097646898)",0.4559399283166445,"(0.20220955869219148, 3.5414766244335616, 0.6467845137515882)",0.42057200152360924,"(0.08149994283123785, 3.3226639891536083, 0.6098824681218451)",0.42159225739958156,"(0.18160985701532928, 3.456472560097668, 0.6631955633440183)",0.40586000120871885,"(0.06488387228552761, 3.361427751636896, 0.7083387513752557)",0.4279034
0.39667801227433264,"(0.38615918923799775, 3.8615918933799778, 0.6856955682462393)",0.36356611325448285,"(-0.2580309776709718, 3.3163574689709625, 0.7914340655127715)",0.4522868040896483,"(0.08223154685837983, 3.4359701854653437, 0.7292748718759595)",0.4153349159465217,"(0.3259087639921292, 3.5680897458966148, 0.6649221438589977)",0.40491434470596244,"(0.11674926341821033, 3.387121795261581, 0.7128454552202784)",0.458820057300688,"(0.2499259429340048, 3.7148927571559565, 0.6313902689700819)",0.4279034
0.3024151933039784,"(0.33786285047186826, 3.3786285057186825, 0.7283714400642328)",0.4114870277255431,"(0.29538163001486656, 3.8876301371846904, 0.7926814742961051)",0.4584974524287897,"(0.09515164766197799, 3.3179824982706756, 0.7504949914826649)",0.4073951558764371,"(-0.1262590983179, 3.2366775901523854, 0.7692894540783647)",0.4639748276208547,"(0.35614026088472966, 3.561402609847297, 0.6300725175677219)",0.43333231254657295,"(0.06205628954468079, 3.4396054019093096, 0.7627127080779625)",0.4279034
0.4463527428765865,"(0.217271781571463, 4.531434848146727, 0.68931319549217)",0.365448348691562,"(0.34710739783652267, 3.4710739793652268, 0.7026997640912689)",0.3801382011527702,"(0.33870271711222066, 3.3870271721222065, 0.7657620611090614)",0.4377143492767674,"(-0.19022464262439606, 3.45704955660648, 0.6219761839916843)",0.3990095568828864,"(0.14562280712983655, 3.445447879770889, 0.7175526340784932)",0.4215438499473158,"(0.1518312741992741, 3.4636207794131466, 0.7013315104396075)",0.4279034
0.5600310497572814,"(-0.07366534253523768, 3.988108289924801, 0.7080849513833581)",0.35800392472664644,"(0.2502868535014952, 3.429991258249136, 0.7758652806780617)",0.4744060564876509,"(-0.08440186781911511, 3.3279059584654265, 0.6804152820583537)",0.4511051265166091,"(0.02971168459976425, 3.568375269179771, 0.7180907622428401)",0.46761671209189254,"(-0.027557684313203854, 3.7457520161568807, 0.6950261166439825)",0.42707261862374524,"(0.20735933235260598, 3.608543173526617, 0.6476849348490225)",0.4279034
0.42868495556405095,"(0.35475719919576004, 3.650908060032935, 0.7195033525251913)",0.4891659378838262,"(-0.24975825546001348, 3.7097854620314132, 0.747435382865827)",0.42476066385778605,"(0.042899800097339465, 3.66831025054993, 0.7779595023023747)",0.46317234339816726,"(0.34236014467062137, 3.423601447706214, 0.7061625911225937)",0.3984498489149479,"(0.25956150020052404, 3.575226251160578, 0.6773310881794922)",0.430378024136697,"(0.2046236060854514, 3.386507737142631, 0.7068693170757671)",0.4279034
