n units 500,n units 1000,n units 2000,n units 3000,n units 4000,n units 5000,True Effect
-0.7506186812303977,0.24818603212398227,0.19976220366386221,0.1879114332369356,0.1936105039708433,0.2082164568344006,0.197236
0.14769576363779918,0.22059229756785725,0.19514329526666424,0.2130483496849121,0.20979827752769378,0.20473845267841898,0.197236
-0.6649364887855912,0.1942075468012297,0.18824587169470577,0.1988011971585047,0.2027147716790265,0.1955832196510728,0.197236
0.2010472204013867,0.20023883102359144,0.17290901283113227,0.21199867079002893,0.19168461364341974,0.18838934504076651,0.197236
0.1597160181941843,0.17335923475203532,0.19927802933664462,0.1974118661237539,0.20700062434712047,0.21208331349103293,0.197236
0.148749540754496,-0.6113025603849987,0.20857219143914238,0.20727744308021737,0.1882815571311358,0.23075715261100266,0.197236
0.21625681559405516,0.2057027330707886,0.19533954611474938,0.22119665791809603,0.21441861946857763,0.2019927223808461,0.197236
0.18436952682060812,0.21640949857469527,0.2302904751787693,0.21506817903336037,0.21754860812008978,0.19307308873830475,0.197236
0.13483739620070376,0.19368777822454228,0.2145982419851361,0.19630739832655886,0.19710603666413773,0.19616629387090223,0.197236
0.15585818587363767,0.15598445378082695,0.21495030856330752,0.19996325368777662,0.19691894981616845,0.2067783245683129,0.197236
0.146722716668993,0.2130155919658764,0.1996967896529551,0.1953366445855267,0.21763189473214672,0.21191255617029964,0.197236
0.137253069601894,0.21064278560252722,0.22938153108925927,0.20471395430160538,0.18390564009552504,0.1946538187588106,0.197236
0.1838564190791689,0.1969972975485867,0.19918804415800623,0.21168552645849364,0.19384321283722922,0.2124074654886378,0.197236
0.20389038311294527,0.23090031028559463,0.23204773267409873,0.20779576870634953,0.20155320836397997,0.20667680500926996,0.197236
0.13461866327187835,0.2167598188246737,0.21002200943940355,0.2169548604437004,0.19613800179000812,0.18354001657123553,0.197236
0.1443616539220246,0.2167993431687778,0.20963315721508097,0.21891742740752812,0.19631768335525543,0.21949159700377802,0.197236
0.14222384325375248,0.20825147794746848,0.19936810264384144,0.19825525042694778,0.20372179133757717,0.19004969572813366,0.197236
0.21219691779200756,0.20447189004769542,0.21007322438799164,0.21870940511476353,0.18573848235817972,0.21077120120227127,0.197236
0.0911236704687945,0.19858773106587577,0.19385011294282337,0.20665383818468794,0.19868460069066027,0.21191566996080372,0.197236
0.1337860355809553,0.16484845379580576,0.2130930887309805,0.20082417000917807,0.20580159893881209,0.21016989468558156,0.197236
0.21999703460429282,0.20038971676752004,0.20098062912258374,0.19903954111260314,0.2155859002484888,0.19699602674236233,0.197236
