n units 300,n units 600,n units 900,n units 1200,n units 1500,True Effect
0.5406333333333334,0.5302,0.7607,0.8059999999999999,0.6859933333333333,0.379425
0.607,0.7421333333333333,0.6857000000000001,0.6146,0.6491866666666667,0.379425
0.5402666666666667,0.6429833333333334,0.006988888888888892,0.6726416666666667,0.5152533333333333,0.379425
0.8257333333333333,0.6791333333333333,0.8121222222222223,0.8063916666666666,0.69536,0.379425
0.6475666666666666,0.64235,0.6262000000000001,0.6644333333333333,0.7460933333333333,0.379425
0.5489666666666666,0.6505333333333334,0.6438444444444444,0.6927916666666667,0.6532866666666667,0.379425
0.05349999999999999,0.72015,0.16932222222222224,0.6239083333333334,0.6344333333333334,0.379425
0.052866666666666645,0.49491666666666667,0.08331111111111111,0.6163083333333333,0.66178,0.379425
0.7596999999999999,0.3919166666666667,0.7870666666666667,0.619275,0.59736,0.379425
-0.012333333333333335,0.8429166666666666,0.6675444444444445,0.6977,0.71724,0.379425
0.04899999999999999,0.6771333333333334,0.7792888888888888,0.7627583333333333,0.5981666666666666,0.379425
0.7964666666666667,0.4740833333333333,0.706911111111111,0.678375,0.6695,0.379425
0.8264,0.7654333333333334,0.7100555555555556,0.6747166666666666,0.6412399999999999,0.379425
0.7299666666666667,0.77305,0.3255777777777778,0.17583333333333334,0.5752200000000001,0.379425
0.6062666666666667,0.8056,0.5833333333333334,0.7472500000000001,0.6555866666666667,0.379425
0.5061333333333333,0.7756500000000001,0.638311111111111,0.5803666666666666,0.59372,0.379425
0.5776666666666667,0.8332333333333333,0.7242777777777778,0.6741666666666666,0.6832666666666667,0.379425
0.7446,0.6370333333333333,0.7711222222222223,0.705675,0.5282466666666666,0.379425
0.7333,0.69015,0.7271333333333333,0.6598083333333333,0.6507733333333333,0.379425
0.3685,0.5482333333333334,0.7041333333333333,0.6035083333333333,0.5563733333333333,0.379425
0.16816666666666666,0.6818000000000001,0.06627777777777777,0.7049666666666667,0.24033333333333334,0.379425
0.6703333333333333,0.4014833333333333,0.7868111111111111,0.22702500000000003,0.5497733333333333,0.379425
0.7133999999999999,0.3409,0.6288666666666667,0.7239833333333333,0.5987333333333333,0.379425
-0.06393333333333333,0.7912,0.7819,0.607725,0.54284,0.379425
0.4342,0.35075,0.5219666666666666,0.51695,0.6190133333333333,0.379425
0.7448333333333333,0.6819333333333333,0.7898777777777778,0.6081416666666667,0.7081866666666666,0.379425
0.7666000000000001,0.6805333333333333,0.37305555555555553,0.7316333333333334,0.42314666666666667,0.379425
0.4306,0.56085,0.7138777777777777,0.627425,0.6960933333333333,0.379425
0.6425000000000001,0.59895,0.4956222222222223,0.702025,0.73418,0.379425
0.5001666666666666,0.7771166666666667,0.7570111111111111,0.5506166666666666,0.6671933333333333,0.379425
0.8617,0.60145,0.7247222222222222,0.7289000000000001,0.5273333333333333,0.379425
0.7175333333333334,0.7654833333333334,0.7988,0.6884666666666667,0.6627666666666667,0.379425
0.6389666666666667,0.73425,0.18846666666666667,0.6372833333333334,0.5318133333333334,0.379425
0.8377,0.5357166666666666,0.5846333333333333,0.6968083333333334,0.6899000000000001,0.379425
0.5353666666666667,0.12488333333333332,0.642411111111111,0.7163666666666666,0.5343266666666666,0.379425
0.7227333333333333,0.3262833333333333,0.39494444444444443,0.7343500000000001,0.6457200000000001,0.379425
0.7639,0.6820166666666666,0.6390888888888888,0.6552583333333334,0.6954466666666667,0.379425
0.7638,0.6890666666666667,0.7513222222222222,0.7624833333333334,0.5823066666666668,0.379425
0.14073333333333332,0.7777666666666667,0.7679777777777779,0.6123999999999999,0.6470266666666667,0.379425
0.5226666666666667,-0.003949999999999981,0.7736444444444444,0.6121500000000001,0.6021533333333333,0.379425
0.6831333333333334,0.77225,0.682,0.7011166666666666,0.5679666666666667,0.379425
0.6044666666666667,0.7232333333333334,0.6178666666666667,0.7891833333333333,0.7738066666666666,0.379425
0.7004666666666667,0.6536666666666667,0.7087555555555556,0.5863,0.5085999999999999,0.379425
0.38256666666666667,0.40451666666666664,0.5252222222222223,0.5721416666666667,0.78582,0.379425
0.1965333333333333,0.7194333333333333,0.5312333333333333,0.7472833333333334,0.7221133333333334,0.379425
0.2040333333333333,0.60565,0.6298111111111111,0.583175,0.72238,0.379425
0.6923,-0.10823333333333333,0.5904777777777779,0.6579833333333334,0.7080733333333333,0.379425
0.7530666666666667,-0.6121166666666666,0.7735333333333333,0.2811916666666667,0.5439533333333333,0.379425
0.43956666666666666,0.8200833333333333,0.7594333333333333,0.5023833333333334,0.7538733333333333,0.379425
0.8082,0.8541333333333333,0.5292666666666667,0.16116666666666665,0.6201866666666667,0.379425
0.7106666666666667,0.7062333333333333,0.5969777777777777,0.7558166666666666,0.6257400000000001,0.379425
0.6535,0.3433833333333333,0.7399333333333333,0.5087166666666666,0.5466333333333333,0.379425
0.7778666666666667,0.6811166666666666,0.6386555555555555,0.655975,0.7138333333333333,0.379425
0.5710333333333334,0.5619999999999999,0.7557777777777778,0.7000166666666667,0.6207666666666667,0.379425
0.4290333333333334,0.5832833333333334,0.6588333333333334,0.7205333333333334,0.71026,0.379425
0.6831666666666667,0.63505,0.6586888888888889,0.6864416666666666,0.73336,0.379425
0.5511999999999999,0.3121,0.7839111111111111,0.7322333333333333,0.5453466666666666,0.379425
0.8189333333333334,0.5073333333333333,0.5986888888888889,0.5473166666666667,0.60622,0.379425
0.6954333333333333,0.7320666666666666,0.5123888888888889,0.6669583333333333,0.72708,0.379425
0.5362333333333333,0.82645,0.4683999999999999,0.6973166666666667,0.7711600000000001,0.379425
0.6380666666666667,0.3860166666666667,0.6000777777777777,0.67245,0.6140066666666666,0.379425
0.19136666666666668,0.60005,0.7111777777777778,0.7143833333333334,0.6188066666666666,0.379425
0.7297,0.5615833333333333,0.6513222222222222,0.20951666666666668,0.7738466666666667,0.379425
0.7931333333333334,0.49149999999999994,0.3497888888888889,0.6753333333333333,0.6575666666666666,0.379425
0.5100666666666667,0.7221833333333333,0.4613777777777778,0.7171000000000001,0.7522533333333333,0.379425
-0.07316666666666666,0.6799833333333334,0.6885222222222223,0.647875,0.50456,0.379425
0.5788000000000001,0.7116333333333333,0.6873222222222222,0.5900666666666667,0.70426,0.379425
0.6716333333333333,0.2489,0.5831444444444445,0.64345,0.43570666666666663,0.379425
0.7971333333333334,0.6787166666666667,0.5816555555555556,0.6316833333333334,0.7414733333333333,0.379425
0.2604666666666666,0.6733,0.5145777777777778,0.734275,0.7030400000000001,0.379425
0.8094,0.5568833333333333,0.29677777777777775,0.586875,0.7635466666666667,0.379425
0.04913333333333336,0.3997833333333334,0.6267666666666667,0.5478416666666667,0.7809866666666667,0.379425
0.6663333333333333,0.09213333333333334,0.7810222222222222,0.6541583333333334,0.7036466666666666,0.379425
0.6253666666666666,0.766,0.6925666666666668,0.6454,0.7137133333333334,0.379425
0.45326666666666665,0.34304999999999997,0.7533777777777778,0.6697083333333333,0.7642866666666667,0.379425
0.8017,0.5382166666666667,0.6451333333333333,0.36761666666666665,0.6333333333333334,0.379425
0.7573666666666667,0.6356833333333334,0.6093888888888889,0.6762250000000001,0.7606866666666666,0.379425
0.8356333333333333,0.70165,0.6540222222222222,0.6122416666666667,0.6866933333333334,0.379425
0.6922,0.6808166666666666,0.7106111111111112,0.6685583333333334,0.6978933333333334,0.379425
-0.0398,-0.01861666666666667,0.5346000000000001,0.6817583333333334,0.6021000000000001,0.379425
0.8249666666666667,0.7997666666666667,0.7157222222222223,0.7664166666666666,0.6583133333333333,0.379425
-0.005600000000000008,0.7339333333333333,0.7273666666666666,0.6180416666666666,0.7321066666666667,0.379425
0.7005333333333333,0.7568166666666667,0.5640111111111111,0.6194166666666667,0.6776599999999999,0.379425
0.5767333333333333,0.6012833333333334,0.4495888888888889,0.7564666666666666,0.7231799999999999,0.379425
-0.0345,0.7061833333333334,0.5403777777777777,0.6804416666666666,0.4762133333333334,0.379425
-0.0121,0.18976666666666664,0.7263666666666666,0.5594,0.6374799999999999,0.379425
0.5748,0.42746666666666666,0.6511888888888889,0.6062333333333333,0.6400333333333333,0.379425
0.5444666666666667,0.6112833333333334,0.4489111111111111,0.7679499999999999,0.5466666666666666,0.379425
0.1818333333333333,0.6502333333333333,0.5304444444444445,0.6131500000000001,0.6798,0.379425
